facility_id,facility_name,country,facility_type,owned_leased,scope,category,energy_source,unit,q1_consumption,q2_consumption,q3_consumption,q4_consumption,annual_consumption,annual_consumption_notes,emission_factor,emission_factor_source,emission_factor_unit,gross_emissions_tCO2e,renewable_energy_tCO2e,net_emissions_tCO2e,data_quality,data_quality_notes
F01,Amsterdam HQ,Netherlands,Office/R&D,Owned,Scope 1,Natural Gas,Natural Gas,MWh,142,138,145,151,576,,0.202,IPCC AR6,kgCO2e/kWh,116.4,0,116.4,High,Primary metered data
F01,Amsterdam HQ,Netherlands,Office/R&D,Owned,Scope 2 (location-based),Electricity,Grid Electricity,MWh,310,295,288,302,1195,,0.283,IEA 2023 Netherlands,kgCO2e/kWh,338.2,338.2,0,High,100% renewable via PPA
F01,Amsterdam HQ,Netherlands,Office/R&D,Owned,Scope 2 (market-based),Electricity,Grid Electricity,MWh,310,295,288,302,1195,,0,Renewable Energy Certificate,kgCO2e/kWh,0,0,0,High,REGO-backed PPA verified
F02,Eindhoven Manufacturing,Netherlands,Manufacturing,Owned,Scope 1,Natural Gas,Natural Gas,MWh,1820,1654,1698,1875,7047,,0.202,IPCC AR6,kgCO2e/kWh,1423.5,0,1423.5,High,Primary metered data
F02,Eindhoven Manufacturing,Netherlands,Manufacturing,Owned,Scope 1,Diesel,Diesel (forklift fleet),Litres,12400,11800,12100,13200,49500,,2.68,DEFRA 2023,kgCO2e/litre,132.7,0,132.7,High,Fleet fuel logs
F02,Eindhoven Manufacturing,Netherlands,Manufacturing,Owned,Scope 2 (location-based),Electricity,Grid Electricity,MWh,4820,4510,4690,5100,19120,,0.283,IEA 2023 Netherlands,kgCO2e/kWh,5411.0,5411.0,0,High,100% renewable via PPA
F02,Eindhoven Manufacturing,Netherlands,Manufacturing,Owned,Scope 2 (market-based),Electricity,Grid Electricity,MWh,4820,4510,4690,5100,19120,,0,Renewable Energy Certificate,kgCO2e/kWh,0,0,0,High,REGO-backed PPA verified
F03,Berlin Office,Germany,Office,Leased,Scope 1,Natural Gas,Natural Gas,MWh,98,85,91,103,377,,0.202,IPCC AR6,kgCO2e/kWh,76.2,0,76.2,Medium,Landlord-provided data; estimated Q2
F03,Berlin Office,Germany,Office,Leased,Scope 2 (location-based),Electricity,Grid Electricity,MWh,188,175,181,192,736,,0.364,IEA 2023 Germany,kgCO2e/kWh,267.9,267.9,0,High,100% renewable green tariff
F03,Berlin Office,Germany,Office,Leased,Scope 2 (market-based),Electricity,Grid Electricity,MWh,188,175,181,192,736,,0,Green Tariff Certificate,kgCO2e/kWh,0,0,0,High,Utility-verified green tariff
F04,Ho Chi Minh City Manufacturing,Vietnam,Manufacturing,Owned,Scope 1,Natural Gas,Natural Gas,MWh,2240,2180,2310,2290,9020,,0.202,IPCC AR6,kgCO2e/kWh,1822.0,0,1822.0,Medium,Primary metered data; currency conversion unverified
F04,Ho Chi Minh City Manufacturing,Vietnam,Manufacturing,Owned,Scope 2 (location-based),Electricity,Grid Electricity,MWh,8920,8650,9100,8800,35470,,0.610,IEA 2023 Vietnam,kgCO2e/kWh,21636.7,0,21636.7,Medium,Invoice-based; VND conversion not independently verified
F04,Ho Chi Minh City Manufacturing,Vietnam,Manufacturing,Owned,Scope 2 (market-based),Electricity,Grid Electricity,MWh,8920,8650,9100,8800,35470,,0.610,IEA 2023 Vietnam,kgCO2e/kWh,21636.7,0,21636.7,Medium,No renewable procurement; market = location-based
F05,Penang Manufacturing,Malaysia,Manufacturing,Owned,Scope 1,Natural Gas,Natural Gas,MWh,1980,1870,1920,2050,7820,,0.202,IPCC AR6,kgCO2e/kWh,1579.6,0,1579.6,High,Primary metered data
F05,Penang Manufacturing,Malaysia,Manufacturing,Owned,Scope 2 (location-based),Electricity,Grid Electricity,MWh,7640,7290,7510,7980,30420,,0.585,IEA 2023 Malaysia,kgCO2e/kWh,17795.7,0,17795.7,High,Primary metered data
F05,Penang Manufacturing,Malaysia,Manufacturing,Owned,Scope 2 (market-based),Electricity,Grid Electricity,MWh,7640,7290,7510,7980,30420,,0.585,IEA 2023 Malaysia,kgCO2e/kWh,17795.7,0,17795.7,High,No renewable procurement; market = location-based
F06,Monterrey Manufacturing,Mexico,Manufacturing,Leased,Scope 1,Natural Gas,Natural Gas,MWh,1560,1490,,, ,,0.202,IPCC AR6,kgCO2e/kWh,,0,,Low,Q3 and Q4 missing due to metering failure — DATA GAP
F06,Monterrey Manufacturing,Mexico,Manufacturing,Leased,Scope 2 (location-based),Electricity,Grid Electricity,MWh,5210,4980,5340,5620,21150,,0.442,IEA 2023 Mexico,kgCO2e/kWh,9348.3,0,9348.3,High,Primary metered data
F06,Monterrey Manufacturing,Mexico,Manufacturing,Leased,Scope 2 (market-based),Electricity,Grid Electricity,MWh,5210,4980,5340,5620,21150,,0.442,IEA 2023 Mexico,kgCO2e/kWh,9348.3,0,9348.3,High,No renewable procurement; market = location-based
F07,Austin R&D,USA,Office/R&D,Leased,Scope 1,Natural Gas,Natural Gas,MWh,210,185,195,225,815,,0.202,IPCC AR6,kgCO2e/kWh,164.6,0,164.6,Medium,Landlord-provided; sub-metered estimate
F07,Austin R&D,USA,Office/R&D,Leased,Scope 2 (location-based),Electricity,Grid Electricity,MWh,620,590,645,610,2465,,0.386,EPA eGRID 2023 ERCOT,kgCO2e/kWh,951.5,0,951.5,High,Primary metered data
F07,Austin R&D,USA,Office/R&D,Leased,Scope 2 (market-based),Electricity,Grid Electricity,MWh,620,590,645,610,2465,,0.386,EPA eGRID 2023 ERCOT,kgCO2e/kWh,951.5,0,951.5,High,No renewable procurement; market = location-based
F08,Chicago Distribution,USA,Warehouse,Leased,Scope 1,Natural Gas,Natural Gas,MWh,198,175,182,201,756,,0.202,IPCC AR6,kgCO2e/kWh,152.7,0,152.7,Medium,Annualized from 9 months — acquisition March 2023; annualization not disclosed
